track_id,album_title,album_tracks,artist_latitude,artist_longitude,artist_name,duration,favorites,genre_top,genres,genres_all,interest,listens,title,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,spectral_bandwidth_kurtosis_01,spectral_bandwidth_max_01,spectral_bandwidth_mean_01,spectral_bandwidth_median_01,spectral_bandwidth_min_01,spectral_bandwidth_skew_01,spectral_bandwidth_std_01,spectral_centroid_kurtosis_01,spectral_centroid_max_01,spectral_centroid_mean_01,spectral_centroid_median_01,spectral_centroid_min_01,spectral_centroid_skew_01,spectral_centroid_std_01,spectral_rolloff_kurtosis_01,spectral_rolloff_max_01,spectral_rolloff_mean_01,spectral_rolloff_median_01,spectral_rolloff_min_01,spectral_rolloff_skew_01,spectral_rolloff_std_01,genres_names,genres_all_names,log_duration,log_listens,log_favorites,duration_min,favorites_per_listen,genre_encoded
11870,Wildahead Portibeast,10,,,Wildahead Portibeast,131,0,Hip-Hop,[21],[21],733,218,What The Truth Should Be,0.373038897,0.4298918807,0.6459287846,0.7692845086,0.1950417977,0.101239953,159.908,0.4745543047,1.3867459297,3632.7033691,1373.2067871,1240.3526611,519.21081543,1.2556151152,467.64440918,4.5656752586,4842.871582,1257.0722656,1085.6282959,327.56948853,2.080016613,575.11248779,2.8392915726,8968.5791016,2338.1196289,1981.0546875,516.796875,1.8123825788,1234.2684326,['Hip-Hop'],['Hip-Hop'],4.882801922586371,5.389071729816501,0.0,2.183333333333333,0.0,7
11871,Wildahead Portibeast,10,,,Wildahead Portibeast,185,0,Hip-Hop,[21],[21],753,267,It's True,0.9082148388,0.4279177076,0.6943641594,0.9504132948,0.2690816758,0.1809267992,188.077,0.5850490856,0.98812949657,3607.125,1422.1622314,1373.4069824,367.8928833,0.76959228516,474.04217529,4.5943222046,5594.8740234,1103.2574463,964.41387939,187.27738953,1.8862705231,655.11431885,2.0366704464,9560.7421875,2132.7961426,1830.3222656,226.09863281,1.4127585888,1387.095459,['Hip-Hop'],['Hip-Hop'],5.225746673713202,5.5909869805108565,0.0,3.0833333333333335,0.0,7
11872,Wildahead Portibeast,10,,,Wildahead Portibeast,183,0,Hip-Hop,[21],[21],744,223,Pedestal,0.2041111509,0.5013293309,0.6086900751,0.7258109101,0.1254508644,0.6237109951,137.676,0.5223812695,-0.28811147809,3509.5302734,1639.1558838,1663.0238037,397.35375977,0.066964894533,421.00048828,2.9113948345,5128.2128906,1226.1569824,1092.0550537,99.6043396,1.4925312996,645.91589355,-0.46374073625,9345.4101562,2760.1003418,2583.984375,64.599609375,0.24542626739,1420.8886719,['Hip-Hop'],['Hip-Hop'],5.214935757608986,5.4116460518550396,0.0,3.05,0.0,7
11873,Wildahead Portibeast,10,,,Wildahead Portibeast,213,3,Hip-Hop,[21],[21],936,245,Timetomoveover (prod. 6th Sense),0.464477715,0.4196865888,0.7431631316,0.7860327523,0.2146218979,0.1427615979,79.371,0.6443940452,0.013340760954,3748.8713379,1424.2736816,1366.631958,454.32061768,0.5682721138,440.07092285,0.98325532675,5822.3222656,1202.7509766,1157.2052002,203.40100098,0.91619116068,615.65509033,-0.11432605982,9722.2412109,2445.4492188,2271.7529297,86.1328125,0.58103477955,1330.0560303,['Hip-Hop'],['Hip-Hop'],5.365976015021851,5.5053315359323625,1.3862943611198906,3.55,0.012195121951219513,7
11874,Wildahead Portibeast,10,,,Wildahead Portibeast,162,0,Hip-Hop,[21],[21],861,192,Stranger feat. 6th Sense,0.9219603071,0.3503831912,0.5885841026,0.8612036063,0.1205613981,0.187305791,190.518,0.5379961845,2.1765942574,4069.6345215,1402.9511719,1350.7568359,427.84295654,1.0698527098,529.1541748,8.8585042953,6391.2641602,1187.4592285,973.97973633,244.83282471,2.5215570927,755.22644043,4.5677428246,10142.138672,2265.6386719,1905.6884766,215.33203125,1.849875927,1474.1486816,['Hip-Hop'],['Hip-Hop'],5.093750200806762,5.262690188904886,0.0,2.7,0.0,7
11875,Wildahead Portibeast,10,,,Wildahead Portibeast,147,1,Hip-Hop,[21],[21],816,341,Machine Gun feat. 6th Sense,0.6345266874,0.3933989233,0.6048130743,0.1802367936,0.1186544787,0.2454873155,183.188,0.3636391914,-1.011002183,3293.9155273,1729.7998047,1673.7628174,703.36657715,0.10448337346,497.86654663,-0.17022565007,5179.7602539,1635.7880859,1347.6488037,317.34249878,0.84562367201,853.019104,-1.2241780758,9259.2773438,3198.171875,2637.8173828,21.533203125,0.38919305801,1697.9008789,['Hip-Hop'],['Hip-Hop'],4.997212273764115,5.834810737062605,0.6931471805599453,2.45,0.0029239766081871343,7
11876,Wildahead Portibeast,10,,,Wildahead Portibeast,148,0,Hip-Hop,[21],[21],676,240,Damn,0.8128415914,0.1383703893,0.7280022854,0.6653884461,0.2914851878,0.0573857339,74.336,0.4042319263,1.8199169636,3507.0305176,1718.5540771,1794.5444336,285.03109741,-1.2149044275,469.68988037,1.153998971,5583.0039062,1728.3081055,1629.244751,336.94815063,0.93969398737,603.86877441,-0.58370286226,9506.9091797,3480.3825684,3606.8115234,247.63183594,-0.19000574946,1314.1540527,['Hip-Hop'],['Hip-Hop'],5.003946305945459,5.484796933490655,0.0,2.466666666666667,0.0,7
11877,Wildahead Portibeast,10,,,Wildahead Portibeast,256,0,Hip-Hop,[21],[21],658,214,Is It All As It Seems,0.8803258198,0.3336701907,0.6462838121,0.7842842257,0.7044465286,0.064002235,64.077,0.1137084032,1.2671806812,3446.2507324,1349.1799316,1277.017334,606.6809082,1.0390629768,425.08209229,7.9850711823,7077.140625,1148.402832,931.74578857,238.95640564,2.3198406696,708.16802979,3.0537292957,10335.9375,2223.3706055,1873.3886719,269.16503906,1.5105535984,1313.2790527,['Hip-Hop'],['Hip-Hop'],5.54907608489522,5.3706380281276624,0.0,4.266666666666667,0.0,7
11878,Wildahead Portibeast,10,,,Wildahead Portibeast,338,0,Hip-Hop,[21],[21],807,172,How Can I Carry On (At This Point),0.5235486366,0.465002128,0.3695056455,1.05417e-05,0.1150930437,0.0490987214,61.544,0.0387142043,3.1363561153,4179.925293,1903.4672852,1943.5841064,562.80871582,-0.084263198078,367.95370483,1.879270792,5901.4384766,1545.4355469,1588.1228027,148.66912842,0.63602042198,688.41815186,0.086468107998,10088.305664,3486.1623535,3940.5761719,96.899414062,-0.63883954287,1640.6097412,['Hip-Hop'],['Hip-Hop'],5.82600010738045,5.153291594497779,0.0,5.633333333333334,0.0,7
11879,Wildahead Portibeast,10,,,Wildahead Portibeast,185,0,Hip-Hop,[21],[21],923,326,All For Nothing,0.8482103592,0.3782542666,0.5266554803,0.1260020415,0.1102485022,0.5791481202,204.562,0.493631181,-0.39938515425,3574.310791,1563.4577637,1464.8114014,313.02282715,0.5293596983,635.45465088,3.4384069443,6989.4208984,1107.472168,855.70202637,98.358207703,1.6557623148,830.46673584,0.15799084306,10206.738281,2267.5080566,1528.8574219,96.899414062,1.0426871777,1967.913208,['Hip-Hop'],['Hip-Hop'],5.225746673713202,5.7899601708972535,0.0,3.0833333333333335,0.0,7
